"ozone";"vh";"wind";"humidity";"temp";"ibh";"dpg";"ibt";"vis";"cw"
3;5710;4;28;12.3456790123457;2693;-25;87;250;"C"
5;5700;3;37;15.1234567901235;590;-24;128;100;"C"
5;5760;3;51;20.1234567901235;1450;25;139;60;"W"
6;5720;4;69;9.5679012345679;1568;15;121;60;"C"
4;5790;6;19;15.1234567901235;2631;-33;123;100;"C"
4;5790;3;25;20.679012345679;554;-28;182;250;"W"
6;5700;3;73;12.9012345679012;2083;23;114;120;"C"
7;5700;3;59;14.5679012345679;2654;-2;91;120;"C"
4;5770;8;27;20.1234567901235;5000;-19;92;120;"W"
6;5720;3;44;18.4567901234568;111;9;173;150;"C"
5;5760;6;33;18.4567901234568;492;-44;181;40;"C"
4;5780;6;19;20.1234567901235;5000;-44;135;200;"W"
4;5830;3;19;22.3456790123457;1249;-53;243;250;"W"
7;5870;2;19;24.0123456790123;5000;-67;186;200;"W"
5;5840;5;19;25.679012345679;5000;-40;174;200;"W"
9;5780;4;59;27.3456790123457;639;1;189;150;"W"
4;5680;5;73;19.0123456790123;393;-68;210;10;"C"
3;5720;4;19;20.1234567901235;5000;-66;126;140;"W"
4;5760;3;19;20.1234567901235;5000;-58;111;250;"W"
4;5730;4;26;22.3456790123457;5000;-26;111;200;"W"
5;5700;5;59;28.4567901234568;3044;18;116;150;"W"
6;5650;5;70;18.4567901234568;3641;23;87;140;"C"
9;5680;3;64;19.5679012345679;111;-10;153;50;"C"
6;5820;5;19;22.9012345679012;597;-52;214;70;"W"
6;5810;5;19;25.679012345679;1791;-15;182;150;"W"
11;5790;3;28;25.1234567901235;793;-15;188;120;"W"
10;5800;2;32;25.1234567901235;531;-38;244;40;"W"
7;5820;5;19;24.5679012345679;419;-29;243;120;"W"
12;5770;8;76;25.1234567901235;816;-7;190;6;"W"
9;5670;3;69;20.1234567901235;3651;62;95;30;"W"
2;5590;3;76;10.1234567901235;5000;70;33;100;"C"
3;5410;6;64;7.34567901234568;5000;28;2;200;"C"
3;5350;7;62;6.79012345679012;1341;18;77;60;"C"
2;5480;9;72;10.1234567901235;5000;0;37;350;"C"
3;5600;7;76;13.4567901234568;3799;-18;77;250;"C"
3;5490;11;72;10.679012345679;5000;32;34;350;"C"
4;5560;10;72;12.9012345679012;5000;-1;31;300;"C"
6;5700;3;32;15.679012345679;5000;-30;77;300;"C"
8;5680;5;50;18.4567901234568;5000;-8;75;300;"C"
6;5700;4;86;20.679012345679;2398;21;121;200;"W"
4;5650;5;61;12.9012345679012;5000;51;24;100;"C"
3;5610;5;62;12.9012345679012;4281;42;52;250;"C"
7;5730;5;66;17.3456790123457;1161;27;116;200;"C"
11;5770;5;68;15.1234567901235;2778;2;132;200;"C"
13;5770;3;82;20.679012345679;442;26;146;40;"W"
6;5690;8;21;12.9012345679012;5000;-30;57;300;"C"
5;5700;3;19;15.1234567901235;5000;-53;66;300;"C"
4;5730;11;19;18.4567901234568;5000;-43;95;300;"C"
4;5690;7;19;19.5679012345679;5000;7;95;300;"C"
6;5640;5;68;17.9012345679012;5000;24;56;300;"C"
10;5720;6;63;23.4567901234568;1341;19;151;150;"W"
15;5740;3;54;20.1234567901235;1318;2;181;150;"W"
23;5740;3;47;19.5679012345679;885;-4;195;80;"C"
17;5740;3;56;19.5679012345679;360;3;195;40;"C"
7;5670;7;61;14.5679012345679;3497;73;97;40;"C"
2;5550;10;74;12.3456790123457;5000;73;45;80;"C"
3;5470;7;46;6.79012345679012;5000;44;-15;300;"C"
3;5320;11;45;4.01234567901235;5000;39;-25;200;"C"
4;5530;3;43;12.3456790123457;5000;-12;9;140;"C"
6;5600;3;21;15.1234567901235;5000;-2;39;140;"C"
7;5660;7;57;18.4567901234568;5000;30;56;140;"C"
7;5580;5;42;16.7901234567901;3608;24;41;100;"C"
6;5510;5;50;15.1234567901235;5000;38;5;140;"C"
3;5530;5;61;16.2345679012346;5000;56;20;200;"C"
2;5620;9;61;14.0123456790123;5000;66;13;120;"C"
8;5690;0;60;17.3456790123457;613;-27;154;300;"C"
12;5760;4;31;21.2345679012346;334;-9;180;300;"W"
12;5740;3;66;19.5679012345679;567;13;166;150;"C"
16;5780;5;53;24.0123456790123;488;-20;183;2;"W"
9;5790;2;42;25.1234567901235;531;-15;217;50;"W"
24;5760;3;60;29.0123456790123;508;7;192;70;"W"
13;5700;4;82;21.7901234567901;1571;68;135;17;"W"
8;5680;4;57;9.5679012345679;721;28;130;140;"C"
10;5720;5;21;19.0123456790123;505;-49;196;140;"C"
8;5720;5;19;22.9012345679012;377;-27;229;300;"W"
9;5730;4;32;27.3456790123457;442;-9;243;200;"W"
10;5710;5;77;21.7901234567901;902;54;158;250;"W"
14;5720;4;71;13.4567901234568;1381;4;135;60;"C"
9;5710;3;19;20.679012345679;5000;-16;100;100;"W"
11;5600;6;45;12.3456790123457;5000;38;83;150;"C"
7;5630;4;44;11.7901234567901;1302;40;115;150;"C"
9;5690;7;70;21.7901234567901;1292;-5;120;200;"W"
12;5730;6;45;22.3456790123457;5000;-14;115;100;"W"
12;5710;3;46;24.5679012345679;472;34;172;300;"W"
8;5610;6;50;18.4567901234568;1404;42;125;120;"C"
9;5680;5;69;24.0123456790123;944;35;132;100;"W"
5;5620;6;67;9.01234567901234;5000;75;18;200;"C"
4;5420;7;69;9.5679012345679;5000;41;-6;200;"C"
4;5540;5;54;9.5679012345679;5000;62;8;200;"C"
9;5590;6;51;16.7901234567901;5000;44;56;300;"C"
13;5690;6;63;22.9012345679012;2014;31;119;300;"W"
5;5550;21;63;12.9012345679012;5000;56;29;250;"C"
10;5620;7;57;22.3456790123457;5000;27;87;120;"W"
10;5630;6;61;18.4567901234568;524;57;126;140;"C"
7;5580;7;78;15.679012345679;5000;55;36;200;"C"
5;5560;4;65;12.3456790123457;5000;59;18;140;"C"
4;5440;5;44;9.5679012345679;5000;24;3;80;"C"
7;5480;7;51;15.679012345679;2490;29;86;300;"C"
3;5620;5;73;11.7901234567901;5000;107;-4;100;"C"
4;5450;11;35;7.90123456790123;5000;36;8;300;"C"
7;5660;6;35;16.2345679012346;5000;28;41;200;"C"
11;5680;6;61;17.9012345679012;1144;30;120;120;"C"
15;5760;4;50;26.2345679012346;547;1;194;100;"W"
22;5790;4;57;26.7901234567901;413;10;209;120;"W"
17;5720;5;68;28.4567901234568;610;46;176;60;"W"
7;5660;6;58;22.9012345679012;3638;81;107;120;"W"
10;5710;5;65;25.679012345679;3848;45;138;100;"W"
19;5780;7;78;27.9012345679012;1479;40;200;100;"W"
18;5750;7;73;17.3456790123457;1108;55;186;27;"C"
12;5700;5;41;19.0123456790123;869;0;145;40;"C"
6;5620;9;47;21.2345679012346;5000;43;35;140;"W"
9;5650;6;46;20.679012345679;5000;49;33;150;"W"
19;5730;5;61;26.7901234567901;1148;31;160;100;"W"
21;5810;4;55;31.2345679012346;856;4;241;100;"W"
29;5790;4;60;32.3456790123457;807;16;228;120;"W"
16;5740;8;78;29.0123456790123;2040;46;175;150;"W"
11;5690;4;71;27.3456790123457;314;60;150;120;"W"
2;5680;6;77;12.9012345679012;5000;75;49;120;"C"
12;5650;8;66;24.0123456790123;1410;20;129;140;"W"
16;5730;6;74;27.9012345679012;360;23;169;120;"W"
22;5730;3;78;28.4567901234568;1568;32;198;70;"W"
20;5760;7;78;31.2345679012346;1184;40;204;80;"W"
27;5830;6;75;31.2345679012346;898;24;230;70;"W"
33;5880;3;80;34.5679012345679;436;0;302;40;"W"
25;5890;6;88;36.7901234567901;774;6;300;20;"W"
31;5850;4;76;33.4567901234568;1181;50;266;17;"W"
18;5820;6;63;34.5679012345679;1991;47;209;40;"W"
24;5800;7;78;32.3456790123457;1597;56;200;50;"W"
16;5740;3;74;31.2345679012346;1184;52;208;70;"W"
12;5710;7;63;26.7901234567901;3005;58;151;80;"W"
9;5720;8;62;26.7901234567901;2880;53;141;120;"W"
16;5740;5;53;28.4567901234568;2125;64;150;100;"W"
8;5690;9;62;24.5679012345679;3720;74;105;120;"W"
9;5730;5;71;27.3456790123457;4337;66;152;200;"W"
29;5780;3;68;34.5679012345679;2053;31;227;120;"W"
20;5790;7;79;32.3456790123457;1958;70;214;40;"W"
5;5750;3;76;26.2345679012346;3644;86;152;70;"W"
5;5680;6;71;26.2345679012346;1368;75;147;100;"W"
11;5720;3;66;25.1234567901235;3539;73;120;120;"W"
12;5770;4;81;24.5679012345679;2785;49;174;100;"W"
19;5800;4;72;27.9012345679012;984;26;207;120;"W"
17;5780;8;92;27.9012345679012;1804;56;200;70;"W"
19;5740;6;71;28.4567901234568;3234;77;171;80;"W"
